Presenter Name,Institution
G Burke,"Ulster University Belfast, United Kingdom"
G Carli Lorenzini,"Technical University of Denmark (DTU) Copenhagen, Denmark https://orcid.org/---"
G Duffy,"Technological University Dublin Dublin, Ireland"
G Pantano,"Technical University of Denmark (DTU) Copenhagen, Denmark https://orcid.org/---X"
G. Bombaerts,"Eindhoven University of Technology, the Netherlands Eindhoven, the Netherlands"
"G. Buskes, H. Chan","The University of Melbourne Melbourne, Australia"
"G. Buskes,S. Rios","The University of Melbourne Melbourne, Australia"
G. Chikwa,"Centre for Learning Enhancement and Educational Development, Manchester Metropolitan University,"
G. E. D. Øien,"Norwegian University of Science and Technology (NTNU) Trondheim, Norway"
G. Hansen,"Norwegian University of Science and Technology (NTNU) Trondheim, Norway"
G. Langie,"KU Leuven, Faculty of Engineering Technology, LESEC, ETHER Sint-Katelijne-Waver, Belgium"
G. Orbaek White,Swansea University
G. Phillips,"FSE, Maastricht University Maastricht, the Netherlands"
G. S. Korpås,"Norwegian University of Science and Technology (NTNU) Trondheim, Norway"
G. Walsh,"Massachusetts Institute of Technology Cambridge, MA, USA"
G.N. Saunders-Smits,"Delft University of Technology Delft, The Netherlands---X"
G.N. Saunders-Smits,"Faculty of Mechanical, Maritime, and Materials Engineering, Delft University of Technology"
G.N. Saunders-Smits[],"Delft University of Technology Delft, the Netherlands ---X"
G.R. Pitcher,"University of Kentucky Lexington, Kentucky, USA"
Gareth Thompson,Aston University
"Gareth Thompson, Aston University","Katriina Schrey-Niemenmaa, Metropolia University of Applied Sciences Finland"
Genger (in)equality in STEM majors,Female students in an engineering college
"Ger Reilly, TU Dublin","Balázs Vince Nagy, Budapest University of Technology and Economics"
Gill Cooke,"WMG, University of Warwick Coventry, UK."
Gina Noonan,"Teaching and Learning Centre, South East Technological University, Carlow, Ireland"
Giovanni Carabin,"Faculty of Agricultural, Environmental and Food Sciences, Free University of"
Global Competences,University
Graham,Ruth. b.The career framework for university teaching.http://www.advancingteaching.com/
H-R. Myllymäki,Aalto University and Aalto University Executive Education & Professional Development
H-U. Heiß,"TU Berlin Academy for Professional Education Berlin, Germany"
H. AARNIO,"Aalto University Espoo, Finland"
H. Archer,"Colorado School of Mines Golden, Colorado, USA"
H. Cripps,"School of Business and Law, Edith Cowan University Perth, Australia"
H. E. Daggenvoorde - Baarslag,"Saxion University of Applied Sciences Enschede, The Netherlands"
H. Kooli-Chaabane,"University Paris Nanterre & CEROS, EA  Nanterre, France"
H. Shoji,"Ibaraki University Mito, Japan"
H. Väätäjä,"Lapland University of Applied Sciences Rovaniemi, Finland"
H. Väätäjä,"Lapland University of Applied Sciences Rovaniemi, Finlandhttps://orcid.org/---"
H. Wang,"Cornell University Ithaca, U.S.A"
H.-M. J¨arvinen,"Tampere University, Tampere, Finland ORCID ---"
H.Day,"The University of Sheffield, Sheffield, United Kingdom ---"
Haider Al-Juboori,"Dept. of Electronic Eng. and Comm., South East Technological University, Carlow, Ireland"
Hannu-Matti Järvinen,Tampere University
Harding,S. .Whose Science? Whose Knowledge? Thinking From Women’s Lives. Cornell University.
I Direito,"Centre for Engineering Education, University College London, London, UK"
I Direito,"Centre for Engineering Education, University College London, UK"
I. Direito,"University College London London, UK"
I. Mierlus Mazilu,Technical University of Civil Engineering Bucharest ORCID ---
I. Villanueva Alarcón,"University of Florida – Department of Engineering Education Gainesville, FL, USA"
I. Visscher-Voerman,"Saxion University of Applied Sciences Enschede, Netherlands"
I.F. Lazar,"University College London London, UK"
I.J. Jensen,"Department of Biotechnology and Food Science, NTNU-Norwegian University of Science and Technology"
I.P. Blaber,"University of Kentucky Lexington, Kentucky, USA"
Implementation Plan,...acknowledges faculty and teaching personnel input and opinions
Inequitable design in the Hirevue,College students of color
Inês Direito,University College London
"Inês Direito,University College London","Neil Cooke, University of Birmingham"
J Bates,"The University of Sheffield Sheffield, U.K."
J Deters,"College of Engineering, University of Nebraska-Lincoln Lincoln, United Stated of America"
J E Mitchell,"Centre for Engineering Education, University College London, London, UK"
J Herron,"Technological University Dublin Dublin, Ireland"
J McKennedy,"Technological University Dublin Dublin, Ireland"
J Qadir,"Qatar University Doha, Qatar"
J. A. Mejia,"University of Texas at San Antonio San Antonio, USA"
J. A. Tygret,"Illinois College Jacksonville, IL, USA ---X"
J. Angelva,"Lapland University of Applied Sciences Rovaniemi, Finland"
J. B. Main,"School of Engineering Education, Purdue University, West Lafayette, IN, USA"
J. Bennedsen,"Dept. of Electro- and Computer Engineering, Aarhus University Aarhus, Denmark"
J. Bosen,"Research Group Gender and Diversity in Engineering, RWTH Aachen University Aachen, Germany"
J. Covarrubias,"Minnesota State University, Mankato – Department of Integrated Engineering Virginia, MN"
J. Ehnberg,S. LundbergDepartment of Electrical Engineering Chalmers University of Technology
J. Hummel,"Northwestern University Evanston, USA"
J. Kaipainen,"Tampere University, Politechnico di Milano Tampere, Finland"
J. Lönngren,Umeå University Sweden
J. Main,"Purdue University, West Lafayette, USA"
J. McKennedy,Technological University Dublin
J. Mitchell,University College London United Kingdom
J. Mitchell,"University College London,"
J. Naukkarinen,"LUT University Lappeenranta, Finland"
J. Naukkarinen,"LUT University, School of Energy Systems Lappeenranta, Finland"
J. Naukkarinen,"Lappeenranta-Lahti University of Technology LUT), LUT School of Energy Systems Lappeenranta, Finland"
J. Norman,"University of Bristol Bristol, UK"
J. Petrović,"University of Zagreb Faculty of Electrical Engineering and Computing Zagreb, Croatia"
J. Power,"School of Education, University of Limerick, Limerick, Ireland Limerick, Ireland"
J. Power,"University of Limerick, Limerick, Ireland"
J. Ratava,"LUT University Lappeeenranta, Finland ---"
J. SUNDMAN,"Aalto University Espoo, Finland"
J. Schleiss,"Faculty of Computer Science, Otto von Guericke University Magdeburg Magdeburg, Germany"
J. Sundman,"Aalto University – School of Engineering Aalto, Finland"
J. Suviniitty,"Language Center, Aalto University Espoo, Finland"
J. Szpytko,"AGH University of Krakow Krakow, Poland"
J. Walsh,"Munster Technological University, Kerry Tralee, Ireland"
J. de Lima,"Teaching Support Centre, Swiss Federal Institute of Technology (EPFL)"
"J.-F. OlsenLund University Lund, Sweden","O. SandeUmeå University Umeå, Sweden"
J.A Griffiths,University College London United Kingdom
J.C.F. de Winter,"Delft University of Technology Delft, the Netherlands ---"
J.D. Vermunt,"Eindhoven University of Technology Eindhoven, the Netherlands ORCID ---"
J.E Mitchell,"Centre for Engineering Education, University College London, UK"
